Database Migration Validation
=========================================================================================================================
No.  PGSQL Number Of Table         MSSQL Number Of Table         
1    203                           203                           
=========================================================================================================================
Table Count Comparable Result: true
Table Name Comparable Result: true
Overall: true

Column Count and Migration Validation
=========================================================================================================================
No.  TABLE_NAME                                        MSSQL     PGSQL     Count Comparable    Column Name Comparable        
162  TRANSACTIONS_TIME_MOTION_ARCHIVE                  182       182       true                          
163  TRANSACTION_TYPE_MAPPING                          3         3         true                          
164  TRANSACTION_TYPE_MAPPING_AUDIT                    0         0         true                          
165  TRANSACTION_TYPE_MAPPING_TEMP                     3         3         true                          
166  TRN_CODE                                          380       380       true                          
167  TRN_CODE_AUDIT                                    1         1         true                          
168  TRN_CODE_TEMP                                     380       380       true                          
169  UNIT_PROFILE                                      1         1         true                          
170  UNIT_PROFILE_AUDIT                                0         0         true                          
171  UNIT_PROFILE_TEMP                                 1         1         true                          
172  UNIT_SYSTEM                                       1         1         true                          
173  UNIT_SYSTEM_AUDIT                                 0         0         true                          
174  UNIT_SYSTEM_TEMP                                  1         1         true                          
175  UNIT_TASK                                         536       536       true                          
176  UNIT_TASK_AUDIT                                   119       119       true                          
177  UNIT_TASK_TEMP                                    521       521       true                          
178  USER_APPROVAL_LIMIT                               0         0         true                          
